Year,Temp,Rann,Raut,Rwint,Rspr,Rsum,Rcool,HiA,HiS,HdA,HdS,LiA,LiS,LdA,LdS,SynVar
1988,-0.081545455,737.51,200.18,368.56,147.72,87.58,663.3,1024.41,1022.47,6.7,6.27,1003.35,1002.59,4.63,7.05,11.33
1989,-0.531545455,616.14,144.3,245.88,143.24,103.36,512.93,1024.99,1023.97,6.71,5.37,1004.54,1002.4,4.83,5.95,11.54
1990,-0.961545455,669.96,157.84,285.51,125.42,37.61,519.01,1025.63,1021.77,6.92,6.76,1003.77,1004.09,4.26,7.42,11.18
1991,-0.111545455,690.68,128.27,356.92,149.2,64.86,580.49,1024.33,1023.61,6.92,7.39,1003.95,1004.72,5.52,7.63,12.44
1992,-0.581545455,721,136.29,361.96,168.23,35.51,570.78,1025.95,1022.22,6.63,6.43,1003.8,1002.62,5.45,7.26,12.08
1993,-0.911545455,617.77,179.66,269.65,141.78,12.91,502.86,1025.45,1023.95,7.12,5.48,1005.18,1003.64,4.42,7.74,11.54
1994,0.088454545,477.52,128.83,251.79,88.66,21.15,453.81,1025.85,1024.36,6.66,7.53,1004.64,1005.68,3.82,6.46,10.48
1995,-0.301545455,656.67,124.63,320.12,154.29,44.85,561.45,1026.01,1022.21,6.78,10.42,1002.14,1006.22,5.39,7.88,12.17
1996,-0.071545455,708.34,74.81,401.32,198.82,65.58,628.7,1023.47,1022.16,7.18,6.19,1000.46,1003.3,4.8,6.68,11.98
1997,0.008454545,580.87,139.6,279.6,118.35,8.6,482.6,1025.96,1023.42,7.53,9.47,1005.24,1005.79,4.91,7.42,12.44
1998,-0.181545455,657.44,160.49,326.86,145.73,39.45,545.66,1025.37,1022.74,6.51,5.96,1003.72,1003.74,5.41,6.15,11.92
1999,0.138454545,706.69,169.24,317.56,171.61,118.99,613.76,1024.9,1022.58,6.91,6.04,1002.49,1005.62,5.39,7.56,12.3
2000,-0.131545455,611.37,95.95,346.73,73.08,15.26,463.9,1024.55,1021.95,6.42,6.34,1000.05,1003.34,4.34,5.75,10.76
2001,-0.601545455,525.97,102.32,217.33,143.38,65.38,418.16,1025.53,1022.75,7.49,7.52,1005.15,1008.06,4.56,7.59,12.05
2002,-0.191545455,537.52,116.49,276.51,124.23,37.76,489.56,1024.93,1023.47,6.92,8.6,1003.05,1005.04,5.6,8.03,12.52
2003,0.038454545,671.17,163.69,302.62,167.74,34.97,573.73,1024.99,1020.88,7.29,7.26,1003.13,1002.49,5.94,8.13,13.23
2004,-0.181545455,541.8,99.31,308.21,99.63,16.69,464.22,1025.12,1022.87,6.28,6.3,1004.09,1006,5.42,6.64,11.7
2005,-0.681545455,731.84,257.38,276.94,170.97,88.97,636.53,1025.05,1021.85,6.38,5.73,1002.23,1000.61,4.83,6.36,11.21
2006,-0.161545455,476.07,78.28,224.58,91.04,35.64,359.55,1025.75,1022.39,7.35,7.14,1003.68,1004.42,5.59,8.07,12.94
2007,-0.161545455,615.35,120.46,291.19,138.33,56.42,527.76,1024.85,1023.53,6.51,6.54,1000.94,1003.53,5.43,8.02,11.94
2008,-0.371545455,660.85,179.02,254.57,184.6,48.46,546.4,1025.76,1021.17,7.28,7.02,1003.68,1003,5.29,7.8,12.57
2009,-0.031545455,589.65,74.71,344.39,145.58,12.49,508.31,1024.89,1022.89,7.66,8.32,1002.43,1004.17,5.19,8.01,12.85
2010,-0.011545455,393.74,114.17,186.91,66.52,81.46,312.07,1025.63,1022.04,8.19,7.34,1003.28,1000.36,5.43,8.58,13.62
2011,0.628454545,713.53,103.44,301.47,188.81,90.71,535.27,1025.15,1021.12,6.9,8.08,1001.6,1002.48,5.78,7.85,12.68
2012,0.388454545,550.92,79.67,237.79,158.63,58.41,421.04,1024.28,1021.2,7.2,8.04,1003.45,1002.43,5.8,6.51,13
2013,0.548454545,652.95,182.11,255.3,188.17,12.34,552.59,1024.66,1021.64,7.05,7.66,1002.67,1001.7,6,6.43,13.05
2014,0.478454545,573.57,153.12,264.99,144.75,23.09,520.57,1024.24,1021.07,7.28,7.88,1002.49,1001.58,4.73,7.4,12.01
2015,0.578454545,487.84,144.69,217.35,81.8,113.95,397.78,1025.92,1023.67,8.16,8.7,1004.69,1005.63,5.83,7.11,13.99
2016,-0.631545455,726.37,199.13,290.92,115.56,142.45,540.03,1025.01,1022,7.65,7.68,1004.08,1001.32,4.7,6.83,12.35
2017,-0.051545455,652.89,97.15,286.73,128.75,87.81,462.6,1025.25,1020.84,7.07,6.14,1001.95,1001.9,5.35,8.05,12.42
2018,-0.011545455,565.91,78.06,333.34,85,20.69,467.46,1025.38,1022.55,6.05,6.57,1002.61,1002.61,4.7,6.49,10.75
2019,0.308454545,455.74,81.27,283.35,79.87,40.65,399.5,1026.02,1023.04,7.28,6.35,1004.08,1002.29,4.48,7.11,11.76
2020,0.358454545,554.4,122.53,236.24,151.73,62.97,421.3,1025.2,1023.48,6.82,8.48,1002.02,1003.09,6.15,8.83,12.97
2021,-0.041545455,776.16,218.97,337.03,159.36,12.4,653.93,1025.15,1021.81,7.42,7.61,1002.1,1002.96,6.13,8.46,13.55
2022,-0.101545455,595.65,146.96,295.37,138.81,10.78,523.75,,,,,,,,,
2023,0.358454545,486.37,120.8,273.87,84.04,17.02,433.42,,,,,,,,,
